schema_version,subject_id,session_id,dominant_hand,attempt_id,sign_label,window_id,is_warmup,kept,frame_index,timestamp,left_hand_tracked,right_hand_tracked,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,L_wrist_x,L_wrist_y,L_wrist_z,L_forearmWrist_x,L_forearmWrist_y,L_forearmWrist_z,L_forearmArm_x,L_forearmArm_y,L_forearmArm_z,L_thumbKnuckle_x,L_thumbKnuckle_y,L_thumbKnuckle_z,L_thumbIntermediateBase_x,L_thumbIntermediateBase_y,L_thumbIntermediateBase_z,L_thumbIntermediateTip_x,L_thumbIntermediateTip_y,L_thumbIntermediateTip_z,L_thumbTip_x,L_thumbTip_y,L_thumbTip_z,L_indexFingerMetacarpal_x,L_indexFingerMetacarpal_y,L_indexFingerMetacarpal_z,L_indexFingerKnuckle_x,L_indexFingerKnuckle_y,L_indexFingerKnuckle_z,L_indexFingerIntermediateBase_x,L_indexFingerIntermediateBase_y,L_indexFingerIntermediateBase_z,L_indexFingerIntermediateTip_x,L_indexFingerIntermediateTip_y,L_indexFingerIntermediateTip_z,L_indexFingerTip_x,L_indexFingerTip_y,L_indexFingerTip_z,L_middleFingerMetacarpal_x,L_middleFingerMetacarpal_y,L_middleFingerMetacarpal_z,L_middleFingerKnuckle_x,L_middleFingerKnuckle_y,L_middleFingerKnuckle_z,L_middleFingerIntermediateBase_x,L_middleFingerIntermediateBase_y,L_middleFingerIntermediateBase_z,L_middleFingerIntermediateTip_x,L_middleFingerIntermediateTip_y,L_middleFingerIntermediateTip_z,L_middleFingerTip_x,L_middleFingerTip_y,L_middleFingerTip_z,L_ringFingerMetacarpal_x,L_ringFingerMetacarpal_y,L_ringFingerMetacarpal_z,L_ringFingerKnuckle_x,L_ringFingerKnuckle_y,L_ringFingerKnuckle_z,L_ringFingerIntermediateBase_x,L_ringFingerIntermediateBase_y,L_ringFingerIntermediateBase_z,L_ringFingerIntermediateTip_x,L_ringFingerIntermediateTip_y,L_ringFingerIntermediateTip_z,L_ringFingerTip_x,L_ringFingerTip_y,L_ringFingerTip_z,L_littleFingerMetacarpal_x,L_littleFingerMetacarpal_y,L_littleFingerMetacarpal_z,L_littleFingerKnuckle_x,L_littleFingerKnuckle_y,L_littleFingerKnuckle_z,L_littleFingerIntermediateBase_x,L_littleFingerIntermediateBase_y,L_littleFingerIntermediateBase_z,L_littleFingerIntermediateTip_x,L_littleFingerIntermediateTip_y,L_littleFingerIntermediateTip_z,L_littleFingerTip_x,L_littleFingerTip_y,L_littleFingerTip_z,R_wrist_x,R_wrist_y,R_wrist_z,R_forearmWrist_x,R_forearmWrist_y,R_forearmWrist_z,R_forearmArm_x,R_forearmArm_y,R_forearmArm_z,R_thumbKnuckle_x,R_thumbKnuckle_y,R_thumbKnuckle_z,R_thumbIntermediateBase_x,R_thumbIntermediateBase_y,R_thumbIntermediateBase_z,R_thumbIntermediateTip_x,R_thumbIntermediateTip_y,R_thumbIntermediateTip_z,R_thumbTip_x,R_thumbTip_y,R_thumbTip_z,R_indexFingerMetacarpal_x,R_indexFingerMetacarpal_y,R_indexFingerMetacarpal_z,R_indexFingerKnuckle_x,R_indexFingerKnuckle_y,R_indexFingerKnuckle_z,R_indexFingerIntermediateBase_x,R_indexFingerIntermediateBase_y,R_indexFingerIntermediateBase_z,R_indexFingerIntermediateTip_x,R_indexFingerIntermediateTip_y,R_indexFingerIntermediateTip_z,R_indexFingerTip_x,R_indexFingerTip_y,R_indexFingerTip_z,R_middleFingerMetacarpal_x,R_middleFingerMetacarpal_y,R_middleFingerMetacarpal_z,R_middleFingerKnuckle_x,R_middleFingerKnuckle_y,R_middleFingerKnuckle_z,R_middleFingerIntermediateBase_x,R_middleFingerIntermediateBase_y,R_middleFingerIntermediateBase_z,R_middleFingerIntermediateTip_x,R_middleFingerIntermediateTip_y,R_middleFingerIntermediateTip_z,R_middleFingerTip_x,R_middleFingerTip_y,R_middleFingerTip_z,R_ringFingerMetacarpal_x,R_ringFingerMetacarpal_y,R_ringFingerMetacarpal_z,R_ringFingerKnuckle_x,R_ringFingerKnuckle_y,R_ringFingerKnuckle_z,R_ringFingerIntermediateBase_x,R_ringFingerIntermediateBase_y,R_ringFingerIntermediateBase_z,R_ringFingerIntermediateTip_x,R_ringFingerIntermediateTip_y,R_ringFingerIntermediateTip_z,R_ringFingerTip_x,R_ringFingerTip_y,R_ringFingerTip_z,R_littleFingerMetacarpal_x,R_littleFingerMetacarpal_y,R_littleFingerMetacarpal_z,R_littleFingerKnuckle_x,R_littleFingerKnuckle_y,R_littleFingerKnuckle_z,R_littleFingerIntermediateBase_x,R_littleFingerIntermediateBase_y,R_littleFingerIntermediateBase_z,R_littleFingerIntermediateTip_x,R_littleFingerIntermediateTip_y,R_littleFingerIntermediateTip_z,R_littleFingerTip_x,R_littleFingerTip_y,R_littleFingerTip_z
1,S04,20260821_142343,right,0,Hello,1,1,0,0,10573.713863,1,1,0.042717,1.175459,-0.134089,0.021686,0.065771,-0.047545,0.996466,-0.059124,0.535733,-0.179577,-0.059124,0.535733,-0.179577,-0.194089,0.668473,-0.050151,-0.033396,0.528097,-0.186739,0.008417,0.503739,-0.204610,0.019712,0.480957,-0.221385,0.020447,0.458565,-0.236595,-0.037871,0.533205,-0.194095,-0.000451,0.504404,-0.241646,0.015181,0.469246,-0.260862,0.021313,0.449398,-0.249479,0.023878,0.437415,-0.233211,-0.046356,0.526600,-0.196724,-0.020226,0.497049,-0.246758,-0.001632,0.457016,-0.262659,0.006229,0.437694,-0.244683,0.008126,0.432459,-0.224284,-0.055134,0.519750,-0.197415,-0.036093,0.486089,-0.246545,-0.018275,0.452581,-0.259121,-0.010503,0.436124,-0.241524,-0.009114,0.431409,-0.221368,-0.065715,0.512436,-0.197609,-0.053943,0.481796,-0.240689,-0.039397,0.456305,-0.254379,-0.031152,0.443414,-0.245582,-0.026097,0.436612,-0.228489,0.093257,0.714976,-0.304736,0.093257,0.714976,-0.304736,0.181368,0.639760,-0.117431,0.093028,0.727888,-0.329641,0.071875,0.759835,-0.364266,0.052441,0.775722,-0.382690,0.030653,0.784737,-0.397313,0.092677,0.718010,-0.330713,0.060457,0.721318,-0.390900,0.025835,0.735952,-0.411830,0.021682,0.757540,-0.403538,0.030456,0.770432,-0.389544,0.083294,0.715199,-0.326069,0.046601,0.712291,-0.379050,0.010262,0.735613,-0.396758,0.022787,0.754128,-0.379359,0.040425,0.752500,-0.367402,0.074383,0.713637,-0.319964,0.034314,0.708253,-0.368506,0.004185,0.730543,-0.380702,0.016678,0.744575,-0.362517,0.033285,0.741620,-0.350248,0.064659,0.711674,-0.312168,0.026766,0.704060,-0.351035,0.003711,0.723905,-0.361001,0.012186,0.736002,-0.350356,0.027882,0.733810,-0.339562
1,S04,20260821_142343,right,0,Hello,1,1,0,1,10573.747287,1,1,0.043525,1.175976,-0.133546,0.025250,0.064982,-0.048467,0.996389,-0.058707,0.534823,-0.179939,-0.058707,0.534823,-0.179939,-0.192023,0.668838,-0.050117,-0.033015,0.527182,-0.187225,0.008715,0.502784,-0.205235,0.019933,0.479928,-0.221963,0.020476,0.457448,-0.237049,-0.037544,0.532246,-0.194579,-0.000390,0.503242,-0.242217,0.015165,0.468004,-0.261348,0.021385,0.448242,-0.249863,0.024056,0.436374,-0.233527,-0.046036,0.525616,-0.197119,-0.020188,0.495835,-0.247163,-0.001643,0.455743,-0.262973,0.006392,0.436443,-0.245050,0.008589,0.430921,-0.224757,-0.054810,0.518751,-0.197718,-0.036038,0.484856,-0.246792,-0.018257,0.451305,-0.259305,-0.010307,0.434876,-0.241761,-0.008644,0.430015,-0.221661,-0.065382,0.511422,-0.197806,-0.053845,0.480571,-0.240799,-0.039354,0.455027,-0.254448,-0.031033,0.442188,-0.245646,-0.025836,0.435440,-0.228574,0.092991,0.714479,-0.305064,0.092991,0.714479,-0.305064,0.181941,0.639875,-0.117906,0.092741,0.727285,-0.330024,0.071603,0.759099,-0.364786,0.052164,0.774938,-0.383240,0.030358,0.783928,-0.397838,0.092349,0.717404,-0.331051,0.059977,0.720587,-0.391163,0.025334,0.735372,-0.411972,0.021331,0.756997,-0.403699,0.030060,0.770029,-0.389812,0.082970,0.714651,-0.326369,0.046123,0.711666,-0.379235,0.009817,0.735049,-0.396937,0.022406,0.753631,-0.379659,0.040065,0.752034,-0.367727,0.074072,0.713151,-0.320233,0.033852,0.707723,-0.368641,0.003780,0.730081,-0.380852,0.016377,0.744140,-0.362761,0.033005,0.741171,-0.350524,0.064365,0.711262,-0.312403,0.026338,0.703635,-0.351131,0.003337,0.723528,-0.361121,0.011887,0.735636,-0.350551,0.027606,0.733302,-0.339830
1,S04,20260821_142343,right,0,Hello,1,1,0,2,10573.779870,1,1,0.044313,1.176406,-0.132992,0.028748,0.064112,-0.049142,0.996317,-0.058940,0.533560,-0.180092,-0.058940,0.533560,-0.180092,-0.192925,0.666116,-0.049468,-0.033209,0.526181,-0.187508,0.008674,0.502219,-0.205744,0.019990,0.479477,-0.222560,0.020639,0.457020,-0.237675,-0.037821,0.531211,-0.194834,-0.000607,0.502636,-0.242682,0.015204,0.467577,-0.261932,0.021671,0.447862,-0.250502,0.024543,0.435983,-0.234209,-0.046260,0.524501,-0.197344,-0.020354,0.495041,-0.247547,-0.001490,0.455154,-0.263496,0.006817,0.435911,-0.245637,0.009163,0.430384,-0.225362,-0.054968,0.517551,-0.197911,-0.036093,0.483906,-0.247117,-0.018042,0.450548,-0.259757,-0.009850,0.434176,-0.242273,-0.008138,0.429471,-0.222140,-0.065468,0.510119,-0.197960,-0.053829,0.479439,-0.241047,-0.039147,0.454051,-0.254782,-0.030661,0.441288,-0.246030,-0.025385,0.434685,-0.228925,0.093189,0.714498,-0.305343,0.093189,0.714498,-0.305343,0.182773,0.639989,-0.118432,0.092909,0.727290,-0.330310,0.071691,0.758869,-0.365245,0.052215,0.774566,-0.383765,0.030376,0.783426,-0.398380,0.092506,0.717408,-0.331331,0.060038,0.720586,-0.391391,0.025370,0.735391,-0.412149,0.021400,0.757024,-0.403883,0.030163,0.770056,-0.390018,0.083133,0.714667,-0.326632,0.046198,0.711685,-0.379433,0.009870,0.735078,-0.397078,0.022476,0.753675,-0.379830,0.040152,0.752092,-0.367921,0.074244,0.713179,-0.320480,0.033941,0.707759,-0.368816,0.003871,0.730137,-0.380990,0.016510,0.744196,-0.362928,0.033164,0.741119,-0.350761,0.064549,0.711303,-0.312632,0.026454,0.703688,-0.351291,0.003455,0.723596,-0.361255,0.012033,0.735703,-0.350705,0.027772,0.733118,-0.340086
1,S04,20260821_142343,right,0,Hello,1,1,0,3,10573.813916,1,1,0.045134,1.176811,-0.132508,0.032249,0.063036,-0.049472,0.996263,-0.059081,0.532583,-0.180800,-0.059081,0.532583,-0.180800,-0.193630,0.664570,-0.050186,-0.033327,0.525542,-0.188460,0.008733,0.502006,-0.206840,0.020001,0.479114,-0.223483,0.020647,0.456432,-0.238258,-0.038120,0.530393,-0.195789,-0.001053,0.501809,-0.243743,0.015103,0.466763,-0.262726,0.022087,0.447263,-0.251231,0.025507,0.435382,-0.235047,-0.046475,0.523508,-0.198097,-0.020728,0.493815,-0.248244,-0.001370,0.453997,-0.263762,0.007481,0.435128,-0.245767,0.010172,0.429904,-0.225456,-0.055069,0.516405,-0.198456,-0.036268,0.482423,-0.247455,-0.017811,0.449198,-0.259855,-0.009021,0.433054,-0.242450,-0.006869,0.428482,-0.222329,-0.065440,0.508796,-0.198266,-0.053843,0.477737,-0.241091,-0.038890,0.452398,-0.254620,-0.030048,0.439851,-0.245907,-0.024054,0.432923,-0.229172,0.093759,0.714223,-0.305500,0.093759,0.714223,-0.305500,0.183728,0.643002,-0.117615,0.093410,0.727079,-0.330434,0.072022,0.758536,-0.365375,0.052471,0.774129,-0.383890,0.030578,0.782872,-0.398485,0.093036,0.717199,-0.331481,0.060484,0.720428,-0.391491,0.025750,0.735181,-0.412173,0.021724,0.756780,-0.403844,0.030465,0.769803,-0.389956,0.083677,0.714416,-0.326775,0.046685,0.711453,-0.379536,0.010249,0.734767,-0.397062,0.022681,0.753483,-0.379811,0.040369,0.752015,-0.367900,0.074800,0.712884,-0.320615,0.034452,0.707462,-0.368913,0.004298,0.729778,-0.380988,0.016908,0.743842,-0.362907,0.033596,0.740689,-0.350812,0.065119,0.710957,-0.312759,0.026998,0.703322,-0.351388,0.003926,0.723185,-0.361268,0.012481,0.735292,-0.350699,0.028243,0.732649,-0.340133
1,S04,20260821_142343,right,0,Hello,1,1,0,4,10573.847260,1,1,0.045889,1.177135,-0.132179,0.035189,0.061885,-0.049617,0.996228,-0.059027,0.536121,-0.180727,-0.059027,0.536121,-0.180727,-0.195885,0.664888,-0.049317,-0.033312,0.529199,-0.188618,0.008799,0.505582,-0.206769,0.020017,0.482267,-0.222847,0.021292,0.459211,-0.236988,-0.038286,0.533786,-0.195996,-0.001635,0.504370,-0.243760,0.014670,0.469016,-0.262027,0.022263,0.449624,-0.250742,0.026545,0.437311,-0.235094,-0.046586,0.526735,-0.197976,-0.021272,0.496007,-0.247715,-0.001595,0.455948,-0.262162,0.007972,0.437126,-0.244489,0.011751,0.430829,-0.224661,-0.055091,0.519517,-0.197999,-0.036646,0.484445,-0.246357,-0.017949,0.451113,-0.258081,-0.008167,0.434693,-0.241483,-0.004255,0.428349,-0.222123,-0.065357,0.511785,-0.197430,-0.054052,0.479715,-0.239578,-0.038969,0.454186,-0.252592,-0.029614,0.441488,-0.244672,-0.021995,0.432867,-0.229453,0.094184,0.714738,-0.305111,0.094184,0.714738,-0.305111,0.184578,0.646627,-0.116390,0.093763,0.727550,-0.330067,0.072199,0.758814,-0.365073,0.052573,0.774259,-0.383613,0.030629,0.782853,-0.398220,0.093438,0.717666,-0.331096,0.060845,0.720630,-0.391100,0.026039,0.735173,-0.411790,0.021874,0.756767,-0.403523,0.030529,0.769881,-0.389668,0.084093,0.714844,-0.326383,0.047094,0.711607,-0.379124,0.010495,0.734676,-0.396651,0.022756,0.753538,-0.379434,0.040455,0.752252,-0.367508,0.075224,0.713278,-0.320217,0.034883,0.707573,-0.368490,0.004595,0.729684,-0.380621,0.017110,0.743890,-0.362582,0.033822,0.740853,-0.350485,0.065554,0.711316,-0.312354,0.027454,0.703426,-0.350955,0.004277,0.723157,-0.360862,0.012777,0.735324,-0.350315,0.028559,0.732757,-0.339758
1,S04,20260821_142343,right,0,Hello,1,1,0,5,10573.880546,1,1,0.046606,1.177274,-0.131966,0.036897,0.060977,-0.049412,0.996232,-0.057520,0.543787,-0.180403,-0.057520,0.543787,-0.180403,-0.196396,0.669976,-0.048627,-0.031894,0.536484,-0.188235,0.010192,0.511974,-0.205218,0.021260,0.487610,-0.219768,0.023088,0.463698,-0.232340,-0.037020,0.540525,-0.195825,-0.000966,0.508105,-0.242070,0.015161,0.471954,-0.258868,0.023307,0.453121,-0.247036,0.028284,0.441369,-0.231164,-0.045303,0.533309,-0.197175,-0.020608,0.499380,-0.245109,-0.001133,0.458768,-0.258213,0.009207,0.440688,-0.240206,0.013986,0.434660,-0.220512,-0.053758,0.526058,-0.196558,-0.035879,0.487855,-0.242700,-0.017285,0.454047,-0.253151,-0.006799,0.438285,-0.236349,-0.001999,0.432417,-0.217040,-0.063960,0.518327,-0.195286,-0.053137,0.483503,-0.235318,-0.038421,0.457456,-0.247705,-0.028737,0.444908,-0.239942,-0.020281,0.436251,-0.225195,0.094392,0.714336,-0.305077,0.094392,0.714336,-0.305077,0.185464,0.648050,-0.116078,0.093920,0.727161,-0.330026,0.072325,0.758499,-0.364944,0.052671,0.774008,-0.383408,0.030702,0.782669,-0.397934,0.093563,0.717278,-0.331059,0.060772,0.720367,-0.390944,0.025928,0.735022,-0.411503,0.021783,0.756630,-0.403262,0.030469,0.769765,-0.389447,0.084228,0.714481,-0.326312,0.047040,0.711378,-0.378921,0.010437,0.734549,-0.396295,0.022801,0.753368,-0.379106,0.040548,0.751931,-0.367281,0.075378,0.712938,-0.320115,0.034857,0.707374,-0.368245,0.004537,0.729442,-0.380376,0.017094,0.743709,-0.362415,0.033846,0.740602,-0.350398,0.065732,0.711001,-0.312218,0.027480,0.703240,-0.350686,0.004254,0.722914,-0.360594,0.012768,0.735124,-0.350109,0.028581,0.732565,-0.339599
1,S04,20260821_142343,right,0,Hello,1,1,0,6,10573.913174,1,1,0.047242,1.177246,-0.131886,0.037343,0.060471,-0.049374,0.996248,-0.054985,0.560937,-0.179304,-0.054985,0.560937,-0.179304,-0.195784,0.686101,-0.048610,-0.029347,0.552778,-0.186193,0.012863,0.526683,-0.200251,0.024021,0.500935,-0.212096,0.026819,0.475962,-0.222182,-0.034427,0.556002,-0.194193,0.001735,0.518760,-0.236557,0.017337,0.481857,-0.252165,0.026080,0.463405,-0.240161,0.031824,0.452148,-0.224190,-0.042725,0.548704,-0.194809,-0.017918,0.509812,-0.238745,0.000622,0.468523,-0.251048,0.011705,0.451123,-0.232816,0.016954,0.447017,-0.212751,-0.051204,0.541582,-0.193465,-0.033236,0.498649,-0.235195,-0.015287,0.464268,-0.244865,-0.004330,0.449218,-0.227715,0.000431,0.445467,-0.207877,-0.061435,0.534056,-0.191428,-0.050539,0.495151,-0.227476,-0.036594,0.468287,-0.238976,-0.026904,0.455949,-0.230893,-0.018580,0.448752,-0.215311,0.094516,0.713921,-0.305417,0.094516,0.713921,-0.305417,0.186385,0.647509,-0.116821,0.093966,0.726765,-0.330354,0.072292,0.758174,-0.365154,0.052530,0.773696,-0.383489,0.030479,0.782368,-0.397877,0.093585,0.716885,-0.331393,0.060559,0.720086,-0.391135,0.025655,0.734884,-0.411507,0.021328,0.756507,-0.403405,0.029766,0.769911,-0.389699,0.084266,0.714103,-0.326609,0.046862,0.711114,-0.379060,0.010238,0.734373,-0.396261,0.022707,0.753153,-0.379109,0.040498,0.751672,-0.367361,0.075440,0.712573,-0.320374,0.034717,0.707127,-0.368335,0.004396,0.729264,-0.380320,0.017052,0.743492,-0.362401,0.033846,0.740343,-0.350458,0.065824,0.710648,-0.312437,0.027405,0.702994,-0.350748,0.004182,0.722720,-0.360543,0.012761,0.734905,-0.350085,0.028610,0.732307,-0.339643
1,S04,20260821_142343,right,0,Hello,1,1,0,7,10573.946988,1,1,0.047792,1.177105,-0.131916,0.036628,0.060473,-0.050081,0.996240,-0.052887,0.583576,-0.178592,-0.052887,0.583576,-0.178592,-0.196873,0.714475,-0.057365,-0.026948,0.574877,-0.183356,0.016036,0.547827,-0.192325,0.027900,0.521021,-0.200591,0.032443,0.495285,-0.207681,-0.031700,0.577041,-0.191896,0.006375,0.535212,-0.227802,0.022269,0.497508,-0.241000,0.031334,0.479539,-0.228516,0.037433,0.468829,-0.212304,-0.039933,0.569645,-0.191947,-0.013128,0.525874,-0.229676,0.005729,0.483673,-0.237594,0.016488,0.468149,-0.217565,0.021150,0.466522,-0.197009,-0.048429,0.562662,-0.190084,-0.028532,0.515093,-0.225406,-0.010478,0.480042,-0.231954,0.000146,0.466617,-0.213312,0.004196,0.465290,-0.193013,-0.058702,0.555348,-0.187556,-0.046138,0.512403,-0.218033,-0.031963,0.484463,-0.226190,-0.022580,0.473036,-0.216557,-0.015023,0.468085,-0.199757,0.094758,0.713971,-0.305184,0.094758,0.713971,-0.305184,0.186859,0.647642,-0.116667,0.094179,0.726805,-0.330126,0.072467,0.758201,-0.364914,0.052596,0.773661,-0.383174,0.030466,0.782275,-0.397469,0.093797,0.716924,-0.331160,0.060702,0.720102,-0.390866,0.025787,0.735176,-0.411045,0.021280,0.756788,-0.403016,0.029293,0.770548,-0.389411,0.084484,0.714145,-0.326363,0.047020,0.711136,-0.378770,0.010391,0.734430,-0.395911,0.022894,0.753194,-0.378767,0.040699,0.751695,-0.367043,0.075665,0.712618,-0.320118,0.034887,0.707154,-0.368028,0.004554,0.729288,-0.379988,0.017233,0.743524,-0.362088,0.034039,0.740379,-0.350164,0.066059,0.710698,-0.312168,0.027596,0.703030,-0.350431,0.004363,0.722753,-0.360207,0.012955,0.734942,-0.349764,0.028815,0.732347,-0.339339
1,S04,20260821_142343,right,0,Hello,1,1,0,8,10573.979496,1,1,0.048192,1.176801,-0.131979,0.034946,0.061018,-0.051271,0.996206,-0.052840,0.603991,-0.176114,-0.052840,0.603991,-0.176114,-0.205553,0.728218,-0.058668,-0.026331,0.596072,-0.178470,0.018455,0.570898,-0.182894,0.032973,0.544871,-0.189156,0.040878,0.519626,-0.194926,-0.030459,0.597720,-0.187437,0.011722,0.555940,-0.218462,0.029732,0.518588,-0.229783,0.038846,0.500687,-0.217244,0.044631,0.489773,-0.201056,-0.038408,0.590031,-0.187816,-0.007243,0.545825,-0.221455,0.013235,0.504171,-0.228079,0.023358,0.489286,-0.207256,0.026329,0.489461,-0.186328,-0.046785,0.582820,-0.186329,-0.022574,0.534675,-0.217964,-0.003601,0.499940,-0.223478,0.006087,0.487156,-0.203904,0.007938,0.487976,-0.183264,-0.056974,0.575239,-0.184302,-0.040705,0.531573,-0.211842,-0.025543,0.503729,-0.218366,-0.016613,0.492668,-0.207914,-0.010625,0.489278,-0.190127,0.094880,0.714154,-0.305178,0.094880,0.714154,-0.305178,0.187294,0.647663,-0.116854,0.094269,0.726992,-0.330117,0.072534,0.758425,-0.364857,0.052641,0.773913,-0.383070,0.030491,0.782558,-0.397316,0.093871,0.717112,-0.331152,0.060664,0.720347,-0.390791,0.025747,0.735870,-0.410675,0.021135,0.757460,-0.402648,0.028878,0.771417,-0.389089,0.084564,0.714346,-0.326337,0.046995,0.711399,-0.378667,0.010415,0.734879,-0.395644,0.023025,0.753545,-0.378471,0.040849,0.751945,-0.366795,0.075756,0.712831,-0.320073,0.034879,0.707433,-0.367901,0.004557,0.729612,-0.379796,0.017290,0.743827,-0.361919,0.034115,0.740656,-0.350029,0.066164,0.710923,-0.312104,0.027618,0.703316,-0.350289,0.004396,0.723074,-0.360015,0.013025,0.735249,-0.349588,0.028901,0.732630,-0.339196
1,S04,20260821_142343,right,0,Hello,1,1,0,9,10574.013977,1,1,0.048495,1.176361,-0.132078,0.033031,0.061800,-0.052568,0.996156,-0.051208,0.624506,-0.173398,-0.051208,0.624506,-0.173398,-0.213567,0.734408,-0.054667,-0.024406,0.617255,-0.173260,0.021677,0.594130,-0.173596,0.038372,0.569200,-0.178788,0.049479,0.545071,-0.184029,-0.027670,0.618996,-0.182558,0.018402,0.578872,-0.210020,0.038342,0.542342,-0.220741,0.047355,0.523422,-0.209724,0.052959,0.510470,-0.195046,-0.035345,0.611135,-0.183869,0.000086,0.568387,-0.215067,0.021899,0.527549,-0.222422,0.030771,0.511843,-0.201636,0.031999,0.511379,-0.180541,-0.043644,0.603703,-0.183354,-0.015232,0.556822,-0.213331,0.004691,0.522596,-0.218641,0.013120,0.508825,-0.199158,0.013628,0.508178,-0.178438,-0.053788,0.595848,-0.182491,-0.033963,0.553081,-0.209078,-0.017962,0.525555,-0.214890,-0.009441,0.513228,-0.205579,-0.003445,0.506478,-0.188782,0.094743,0.714099,-0.305378,0.094743,0.714099,-0.305378,0.187331,0.647549,-0.117150,0.094118,0.726931,-0.330320,0.072381,0.758383,-0.365041,0.052482,0.773892,-0.383233,0.030326,0.782562,-0.397453,0.093706,0.717051,-0.331351,0.060429,0.720313,-0.390950,0.025521,0.736156,-0.410633,0.020964,0.757728,-0.402526,0.028699,0.771671,-0.388948,0.084402,0.714299,-0.326523,0.046765,0.711386,-0.378805,0.010256,0.735070,-0.395635,0.022967,0.753629,-0.378421,0.040801,0.751918,-0.366783,0.075601,0.712797,-0.320248,0.034659,0.707439,-0.368022,0.004352,0.729655,-0.379885,0.017126,0.743859,-0.362028,0.033961,0.740669,-0.350158,0.066017,0.710905,-0.312266,0.027415,0.703337,-0.350399,0.004208,0.723122,-0.360102,0.012866,0.735290,-0.349688,0.028750,0.732653,-0.339316
