schema_version,subject_id,session_id,dominant_hand,attempt_id,sign_label,window_id,is_warmup,kept,frame_index,timestamp,left_hand_tracked,right_hand_tracked,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,L_wrist_x,L_wrist_y,L_wrist_z,L_forearmWrist_x,L_forearmWrist_y,L_forearmWrist_z,L_forearmArm_x,L_forearmArm_y,L_forearmArm_z,L_thumbKnuckle_x,L_thumbKnuckle_y,L_thumbKnuckle_z,L_thumbIntermediateBase_x,L_thumbIntermediateBase_y,L_thumbIntermediateBase_z,L_thumbIntermediateTip_x,L_thumbIntermediateTip_y,L_thumbIntermediateTip_z,L_thumbTip_x,L_thumbTip_y,L_thumbTip_z,L_indexFingerMetacarpal_x,L_indexFingerMetacarpal_y,L_indexFingerMetacarpal_z,L_indexFingerKnuckle_x,L_indexFingerKnuckle_y,L_indexFingerKnuckle_z,L_indexFingerIntermediateBase_x,L_indexFingerIntermediateBase_y,L_indexFingerIntermediateBase_z,L_indexFingerIntermediateTip_x,L_indexFingerIntermediateTip_y,L_indexFingerIntermediateTip_z,L_indexFingerTip_x,L_indexFingerTip_y,L_indexFingerTip_z,L_middleFingerMetacarpal_x,L_middleFingerMetacarpal_y,L_middleFingerMetacarpal_z,L_middleFingerKnuckle_x,L_middleFingerKnuckle_y,L_middleFingerKnuckle_z,L_middleFingerIntermediateBase_x,L_middleFingerIntermediateBase_y,L_middleFingerIntermediateBase_z,L_middleFingerIntermediateTip_x,L_middleFingerIntermediateTip_y,L_middleFingerIntermediateTip_z,L_middleFingerTip_x,L_middleFingerTip_y,L_middleFingerTip_z,L_ringFingerMetacarpal_x,L_ringFingerMetacarpal_y,L_ringFingerMetacarpal_z,L_ringFingerKnuckle_x,L_ringFingerKnuckle_y,L_ringFingerKnuckle_z,L_ringFingerIntermediateBase_x,L_ringFingerIntermediateBase_y,L_ringFingerIntermediateBase_z,L_ringFingerIntermediateTip_x,L_ringFingerIntermediateTip_y,L_ringFingerIntermediateTip_z,L_ringFingerTip_x,L_ringFingerTip_y,L_ringFingerTip_z,L_littleFingerMetacarpal_x,L_littleFingerMetacarpal_y,L_littleFingerMetacarpal_z,L_littleFingerKnuckle_x,L_littleFingerKnuckle_y,L_littleFingerKnuckle_z,L_littleFingerIntermediateBase_x,L_littleFingerIntermediateBase_y,L_littleFingerIntermediateBase_z,L_littleFingerIntermediateTip_x,L_littleFingerIntermediateTip_y,L_littleFingerIntermediateTip_z,L_littleFingerTip_x,L_littleFingerTip_y,L_littleFingerTip_z,R_wrist_x,R_wrist_y,R_wrist_z,R_forearmWrist_x,R_forearmWrist_y,R_forearmWrist_z,R_forearmArm_x,R_forearmArm_y,R_forearmArm_z,R_thumbKnuckle_x,R_thumbKnuckle_y,R_thumbKnuckle_z,R_thumbIntermediateBase_x,R_thumbIntermediateBase_y,R_thumbIntermediateBase_z,R_thumbIntermediateTip_x,R_thumbIntermediateTip_y,R_thumbIntermediateTip_z,R_thumbTip_x,R_thumbTip_y,R_thumbTip_z,R_indexFingerMetacarpal_x,R_indexFingerMetacarpal_y,R_indexFingerMetacarpal_z,R_indexFingerKnuckle_x,R_indexFingerKnuckle_y,R_indexFingerKnuckle_z,R_indexFingerIntermediateBase_x,R_indexFingerIntermediateBase_y,R_indexFingerIntermediateBase_z,R_indexFingerIntermediateTip_x,R_indexFingerIntermediateTip_y,R_indexFingerIntermediateTip_z,R_indexFingerTip_x,R_indexFingerTip_y,R_indexFingerTip_z,R_middleFingerMetacarpal_x,R_middleFingerMetacarpal_y,R_middleFingerMetacarpal_z,R_middleFingerKnuckle_x,R_middleFingerKnuckle_y,R_middleFingerKnuckle_z,R_middleFingerIntermediateBase_x,R_middleFingerIntermediateBase_y,R_middleFingerIntermediateBase_z,R_middleFingerIntermediateTip_x,R_middleFingerIntermediateTip_y,R_middleFingerIntermediateTip_z,R_middleFingerTip_x,R_middleFingerTip_y,R_middleFingerTip_z,R_ringFingerMetacarpal_x,R_ringFingerMetacarpal_y,R_ringFingerMetacarpal_z,R_ringFingerKnuckle_x,R_ringFingerKnuckle_y,R_ringFingerKnuckle_z,R_ringFingerIntermediateBase_x,R_ringFingerIntermediateBase_y,R_ringFingerIntermediateBase_z,R_ringFingerIntermediateTip_x,R_ringFingerIntermediateTip_y,R_ringFingerIntermediateTip_z,R_ringFingerTip_x,R_ringFingerTip_y,R_ringFingerTip_z,R_littleFingerMetacarpal_x,R_littleFingerMetacarpal_y,R_littleFingerMetacarpal_z,R_littleFingerKnuckle_x,R_littleFingerKnuckle_y,R_littleFingerKnuckle_z,R_littleFingerIntermediateBase_x,R_littleFingerIntermediateBase_y,R_littleFingerIntermediateBase_z,R_littleFingerIntermediateTip_x,R_littleFingerIntermediateTip_y,R_littleFingerIntermediateTip_z,R_littleFingerTip_x,R_littleFingerTip_y,R_littleFingerTip_z
1,S04,20260821_143723,right,0,Hello,1,1,0,0,11393.946688,1,1,-0.011176,1.172935,-0.016676,0.027419,0.040604,-0.041786,0.997925,-0.118379,0.530509,-0.096931,-0.118379,0.530510,-0.096931,-0.234767,0.659847,0.047858,-0.098629,0.519068,-0.111873,-0.064809,0.495819,-0.142168,-0.057528,0.476514,-0.164768,-0.062425,0.456894,-0.183862,-0.103123,0.526379,-0.116841,-0.087149,0.500216,-0.176477,-0.080793,0.477549,-0.212498,-0.075486,0.458086,-0.224610,-0.070582,0.440068,-0.233168,-0.113388,0.522610,-0.117911,-0.108674,0.498843,-0.176461,-0.108426,0.484664,-0.221570,-0.105247,0.466855,-0.242243,-0.102773,0.452762,-0.257677,-0.123515,0.518284,-0.117104,-0.126651,0.493743,-0.174602,-0.127234,0.485602,-0.213951,-0.124055,0.470086,-0.233737,-0.121261,0.456828,-0.249187,-0.135306,0.513829,-0.115393,-0.143734,0.491959,-0.164103,-0.147559,0.486917,-0.195891,-0.145752,0.472930,-0.206580,-0.143103,0.456529,-0.215564,0.081355,0.532026,-0.076848,0.081355,0.532026,-0.076848,0.171026,0.661205,0.075882,0.067281,0.537504,-0.100097,0.034044,0.543891,-0.138192,0.008102,0.538193,-0.151579,-0.016424,0.533175,-0.162302,0.071330,0.528465,-0.100575,0.024091,0.503778,-0.141624,-0.011984,0.486644,-0.154471,-0.035124,0.488741,-0.157052,-0.055395,0.492337,-0.158542,0.066244,0.523291,-0.092296,0.019508,0.494395,-0.123188,-0.019643,0.470792,-0.133680,-0.042793,0.485149,-0.131961,-0.058391,0.499801,-0.128989,0.061428,0.519728,-0.082919,0.013402,0.490017,-0.107028,-0.017760,0.466537,-0.116448,-0.036268,0.484340,-0.112717,-0.048432,0.501433,-0.108772,0.056656,0.515876,-0.071631,0.014675,0.488015,-0.089704,-0.008732,0.466801,-0.095947,-0.023425,0.477427,-0.095326,-0.036492,0.492423,-0.093526
1,S04,20260821_143723,right,0,Hello,1,1,0,1,11393.980147,1,1,-0.010640,1.173121,-0.016350,0.028268,0.039357,-0.042898,0.997904,-0.118316,0.530658,-0.096443,-0.118316,0.530658,-0.096443,-0.235374,0.658101,0.049532,-0.098611,0.519069,-0.111326,-0.064880,0.495553,-0.141511,-0.057674,0.476150,-0.164049,-0.062004,0.456521,-0.183282,-0.103058,0.526390,-0.116320,-0.087148,0.499982,-0.175861,-0.080715,0.477226,-0.211814,-0.075469,0.457896,-0.224168,-0.070632,0.440009,-0.233039,-0.113341,0.522676,-0.117393,-0.108679,0.498730,-0.175868,-0.108390,0.484450,-0.220949,-0.105379,0.466833,-0.241815,-0.103082,0.452974,-0.257491,-0.123493,0.518408,-0.116588,-0.126685,0.493732,-0.174024,-0.127260,0.485491,-0.213351,-0.124163,0.469976,-0.233153,-0.121441,0.456717,-0.248616,-0.135309,0.514023,-0.114881,-0.143792,0.492072,-0.163541,-0.147419,0.487306,-0.195393,-0.145552,0.473225,-0.205945,-0.142827,0.456657,-0.214595,0.080982,0.532633,-0.076392,0.080982,0.532633,-0.076392,0.170565,0.661535,0.076577,0.066871,0.538145,-0.099610,0.033532,0.544540,-0.137611,0.007572,0.538809,-0.150949,-0.016993,0.533696,-0.161519,0.070939,0.529116,-0.100117,0.023704,0.504446,-0.141181,-0.012341,0.487274,-0.154035,-0.035485,0.489331,-0.156584,-0.055764,0.492888,-0.158042,0.065873,0.523909,-0.091847,0.019161,0.495008,-0.122766,-0.019948,0.471349,-0.133277,-0.043101,0.485687,-0.131484,-0.058704,0.500323,-0.128450,0.061074,0.520311,-0.082475,0.013084,0.490575,-0.106612,-0.018033,0.467071,-0.116131,-0.036570,0.484828,-0.112342,-0.048772,0.501882,-0.108341,0.056322,0.516418,-0.071192,0.014380,0.488527,-0.089295,-0.008992,0.467316,-0.095675,-0.023695,0.477924,-0.095021,-0.036831,0.492854,-0.093178
1,S04,20260821_143723,right,0,Hello,1,1,0,2,11394.014053,1,1,-0.010187,1.173294,-0.016176,0.029329,0.038400,-0.044015,0.997862,-0.118351,0.530955,-0.096212,-0.118351,0.530955,-0.096212,-0.234880,0.658941,0.049659,-0.098695,0.519258,-0.111069,-0.065062,0.495553,-0.141208,-0.057937,0.476098,-0.163724,-0.061823,0.456495,-0.183082,-0.103102,0.526596,-0.116072,-0.087281,0.500064,-0.175575,-0.080935,0.477247,-0.211504,-0.075801,0.457979,-0.224002,-0.071077,0.440178,-0.233104,-0.113402,0.522932,-0.117150,-0.108817,0.498918,-0.175595,-0.108503,0.484623,-0.220673,-0.105671,0.467273,-0.241787,-0.103559,0.453706,-0.257746,-0.123573,0.518715,-0.116348,-0.126847,0.494010,-0.173763,-0.127435,0.485739,-0.213082,-0.124448,0.470341,-0.232992,-0.121819,0.457174,-0.248549,-0.135411,0.514390,-0.114646,-0.143967,0.492443,-0.163289,-0.147429,0.487796,-0.195174,-0.145526,0.473647,-0.205623,-0.142772,0.456989,-0.214087,0.080903,0.533217,-0.076294,0.080903,0.533217,-0.076294,0.170546,0.661650,0.076987,0.066749,0.538789,-0.099471,0.033210,0.545194,-0.137296,0.007199,0.539427,-0.150519,-0.017426,0.534222,-0.160890,0.070830,0.529768,-0.100016,0.023565,0.505178,-0.141095,-0.012465,0.488000,-0.153956,-0.035615,0.490030,-0.156463,-0.055901,0.493563,-0.157876,0.065784,0.524524,-0.091757,0.019066,0.495671,-0.122709,-0.020019,0.471988,-0.133241,-0.043141,0.486359,-0.131342,-0.058714,0.501015,-0.128220,0.061004,0.520886,-0.082391,0.013022,0.491174,-0.106562,-0.018072,0.467659,-0.116133,-0.036629,0.485378,-0.112256,-0.048850,0.502402,-0.108179,0.056275,0.516946,-0.071115,0.014337,0.489078,-0.089252,-0.009325,0.468237,-0.095728,-0.023895,0.479030,-0.094925,-0.036914,0.494057,-0.092923
1,S04,20260821_143723,right,0,Hello,1,1,0,3,11394.047306,1,1,-0.009891,1.173171,-0.016027,0.029176,0.038064,-0.044640,0.997851,-0.118449,0.531650,-0.095980,-0.118449,0.531650,-0.095980,-0.234604,0.659812,0.050003,-0.098828,0.519912,-0.110846,-0.065263,0.496143,-0.141004,-0.058192,0.476689,-0.163537,-0.061805,0.457131,-0.182996,-0.103213,0.527267,-0.115842,-0.087464,0.500750,-0.175365,-0.081180,0.477950,-0.211316,-0.076134,0.458806,-0.224041,-0.071491,0.441118,-0.233406,-0.113522,0.523634,-0.116924,-0.109002,0.499666,-0.175387,-0.108581,0.485364,-0.220464,-0.105821,0.468214,-0.241754,-0.103791,0.454854,-0.257899,-0.123705,0.519446,-0.116127,-0.127045,0.494806,-0.173565,-0.127652,0.486576,-0.212890,-0.124766,0.471367,-0.232962,-0.122219,0.458348,-0.248657,-0.135554,0.515153,-0.114430,-0.144168,0.493280,-0.163092,-0.147442,0.488722,-0.195008,-0.145493,0.474575,-0.205448,-0.142710,0.457911,-0.213889,0.080657,0.533082,-0.076607,0.080657,0.533082,-0.076607,0.169680,0.661896,0.076696,0.066509,0.538594,-0.099800,0.032817,0.544761,-0.137524,0.006792,0.538827,-0.150655,-0.017892,0.533344,-0.160701,0.070620,0.529587,-0.100337,0.023481,0.504815,-0.141455,-0.012467,0.487507,-0.154343,-0.035619,0.489457,-0.156875,-0.055915,0.492919,-0.158311,0.065584,0.524330,-0.092081,0.019001,0.495304,-0.123066,-0.019991,0.471481,-0.133628,-0.043111,0.485850,-0.131742,-0.058685,0.500504,-0.128630,0.060808,0.520680,-0.082718,0.012958,0.490795,-0.106923,-0.018048,0.467167,-0.116516,-0.036664,0.484822,-0.112668,-0.048988,0.501772,-0.108624,0.056080,0.516730,-0.071446,0.014207,0.488785,-0.089599,-0.009835,0.468421,-0.096126,-0.024217,0.479466,-0.095202,-0.037062,0.494639,-0.093084
1,S04,20260821_143723,right,0,Hello,1,1,0,4,11394.079375,1,1,-0.009726,1.173024,-0.016043,0.029304,0.038173,-0.045227,0.997817,-0.118534,0.531599,-0.095699,-0.118534,0.531599,-0.095699,-0.235148,0.659182,0.050454,-0.098921,0.519881,-0.110588,-0.065370,0.496153,-0.140794,-0.058310,0.476747,-0.163372,-0.061469,0.457263,-0.182992,-0.103298,0.527251,-0.115567,-0.087558,0.500860,-0.175147,-0.081186,0.478162,-0.211151,-0.076105,0.459060,-0.223928,-0.071437,0.441415,-0.233367,-0.113609,0.523629,-0.116660,-0.109096,0.499795,-0.175174,-0.108492,0.485137,-0.220143,-0.105656,0.467835,-0.241301,-0.103589,0.454402,-0.257383,-0.123796,0.519447,-0.115875,-0.127143,0.494944,-0.173372,-0.127748,0.486806,-0.212717,-0.124889,0.471702,-0.232876,-0.122365,0.458766,-0.248644,-0.135649,0.515161,-0.114192,-0.144270,0.493409,-0.162906,-0.147539,0.488929,-0.194832,-0.145601,0.474805,-0.205303,-0.142830,0.458159,-0.213784,0.080089,0.533074,-0.076717,0.080089,0.533074,-0.076717,0.168743,0.662890,0.075991,0.065938,0.538442,-0.099941,0.032052,0.544226,-0.137547,0.005997,0.538084,-0.150531,-0.018695,0.532421,-0.160432,0.070071,0.529444,-0.100433,0.023007,0.504353,-0.141455,-0.012886,0.486901,-0.154269,-0.036036,0.488832,-0.156802,-0.056332,0.492280,-0.158249,0.065043,0.524215,-0.092154,0.018542,0.494927,-0.123017,-0.020350,0.470906,-0.133491,-0.043399,0.485381,-0.131668,-0.058908,0.500114,-0.128620,0.060271,0.520599,-0.082776,0.012505,0.490483,-0.106853,-0.018455,0.466758,-0.116346,-0.037102,0.484388,-0.112583,-0.049479,0.501312,-0.108624,0.055548,0.516692,-0.071488,0.013692,0.488639,-0.089506,-0.010607,0.468559,-0.095915,-0.024861,0.479770,-0.094949,-0.037581,0.495049,-0.092811
1,S04,20260821_143723,right,0,Hello,1,1,0,5,11394.113545,1,1,-0.009712,1.172899,-0.016290,0.029972,0.038872,-0.045393,0.997763,-0.118598,0.531433,-0.095568,-0.118598,0.531433,-0.095568,-0.238043,0.655650,0.051340,-0.098974,0.519710,-0.110434,-0.065397,0.495968,-0.140598,-0.058317,0.476541,-0.163151,-0.061195,0.457052,-0.182811,-0.103352,0.527071,-0.115422,-0.087573,0.500625,-0.174963,-0.081115,0.477905,-0.210941,-0.076005,0.458868,-0.223802,-0.071317,0.441299,-0.233376,-0.113660,0.523443,-0.116516,-0.109109,0.499550,-0.174997,-0.108478,0.484841,-0.219954,-0.105623,0.467515,-0.241093,-0.103571,0.454126,-0.257216,-0.123844,0.519257,-0.115731,-0.127153,0.494689,-0.173203,-0.127737,0.486507,-0.212540,-0.124876,0.471431,-0.232721,-0.122351,0.458517,-0.248508,-0.135694,0.514967,-0.114048,-0.144282,0.493157,-0.162740,-0.147535,0.488641,-0.194661,-0.145585,0.474508,-0.205115,-0.142801,0.457854,-0.213575,0.079814,0.532853,-0.076891,0.079814,0.532853,-0.076891,0.169743,0.662536,0.075203,0.065510,0.538240,-0.100013,0.031368,0.544064,-0.137379,0.005215,0.537951,-0.150177,-0.019547,0.532315,-0.159903,0.069631,0.529238,-0.100535,0.022277,0.504166,-0.141240,-0.013596,0.486567,-0.153859,-0.036745,0.488706,-0.156179,-0.057015,0.492349,-0.157434,0.064656,0.524013,-0.092223,0.017905,0.494778,-0.122769,-0.020664,0.470161,-0.133062,-0.043843,0.484436,-0.131299,-0.059476,0.499039,-0.128316,0.059946,0.520400,-0.082814,0.011976,0.490337,-0.106566,-0.018730,0.466213,-0.115924,-0.037568,0.483636,-0.112210,-0.050128,0.500426,-0.108305,0.055298,0.516495,-0.071494,0.013271,0.488505,-0.089225,-0.010773,0.468068,-0.095496,-0.025169,0.479087,-0.094532,-0.038088,0.494190,-0.092416
1,S04,20260821_143723,right,0,Hello,1,1,0,6,11394.145831,1,1,-0.009828,1.172583,-0.016678,0.029403,0.039727,-0.045504,0.997741,-0.118333,0.531765,-0.095405,-0.118333,0.531765,-0.095405,-0.239641,0.653365,0.052254,-0.098711,0.519989,-0.110227,-0.065143,0.496133,-0.140305,-0.058068,0.476617,-0.162781,-0.060724,0.457062,-0.182409,-0.103096,0.527326,-0.115245,-0.087330,0.500636,-0.174675,-0.080680,0.477841,-0.210571,-0.075478,0.458840,-0.223448,-0.070712,0.441310,-0.233057,-0.113401,0.523688,-0.116317,-0.108864,0.499550,-0.174691,-0.108245,0.484649,-0.219589,-0.105419,0.467297,-0.240712,-0.103411,0.453930,-0.256861,-0.123580,0.519501,-0.115510,-0.126902,0.494686,-0.172872,-0.127500,0.486336,-0.212172,-0.124647,0.471199,-0.232310,-0.122127,0.458238,-0.248059,-0.135426,0.515212,-0.113803,-0.144023,0.493192,-0.162392,-0.147291,0.488547,-0.194290,-0.145339,0.474376,-0.204688,-0.142551,0.457691,-0.213083,0.080002,0.533113,-0.076951,0.080002,0.533113,-0.076951,0.170293,0.662542,0.075123,0.065641,0.538533,-0.100028,0.031408,0.544410,-0.137301,0.005226,0.538311,-0.150042,-0.019557,0.532684,-0.159719,0.069764,0.529533,-0.100575,0.022349,0.504470,-0.141215,-0.013390,0.486636,-0.153849,-0.036538,0.488817,-0.156121,-0.056783,0.492599,-0.157293,0.064811,0.524293,-0.092260,0.017991,0.495100,-0.122740,-0.020324,0.470082,-0.133031,-0.043638,0.484148,-0.131344,-0.059402,0.498611,-0.128423,0.060125,0.520664,-0.082846,0.012104,0.490632,-0.106530,-0.018310,0.466127,-0.115922,-0.037348,0.483336,-0.112299,-0.050102,0.499984,-0.108466,0.055505,0.516740,-0.071521,0.013421,0.488801,-0.089190,-0.010227,0.467894,-0.095469,-0.024815,0.478646,-0.094581,-0.037997,0.493513,-0.092549
1,S04,20260821_143723,right,0,Hello,1,1,0,7,11394.180641,1,1,-0.010031,1.172318,-0.017290,0.028769,0.040438,-0.045731,0.997720,-0.118436,0.532162,-0.095333,-0.118436,0.532162,-0.095333,-0.239675,0.653956,0.052201,-0.098821,0.520373,-0.110149,-0.065283,0.496463,-0.140213,-0.058217,0.476941,-0.162683,-0.060741,0.457401,-0.182345,-0.103226,0.527687,-0.115181,-0.087514,0.500839,-0.174552,-0.080776,0.478143,-0.210497,-0.075500,0.459190,-0.223415,-0.070664,0.441699,-0.233061,-0.113525,0.524030,-0.116226,-0.109044,0.499721,-0.174527,-0.108363,0.484722,-0.219396,-0.105484,0.467331,-0.240479,-0.103433,0.453933,-0.256597,-0.123695,0.519830,-0.115389,-0.127070,0.494833,-0.172669,-0.127718,0.486361,-0.211941,-0.124895,0.471233,-0.232091,-0.122397,0.458280,-0.247850,-0.135530,0.515528,-0.113650,-0.144169,0.493346,-0.162153,-0.147490,0.488632,-0.194034,-0.145541,0.474448,-0.204410,-0.142748,0.457753,-0.212782,0.080235,0.533330,-0.076961,0.080235,0.533330,-0.076961,0.169984,0.662419,0.075651,0.065908,0.538752,-0.100058,0.031732,0.544631,-0.137378,0.005612,0.538568,-0.150253,-0.019128,0.532969,-0.160058,0.070033,0.529754,-0.100602,0.022688,0.504688,-0.141322,-0.013020,0.486851,-0.154014,-0.036155,0.489149,-0.156272,-0.056367,0.493093,-0.157404,0.065069,0.524511,-0.092296,0.018307,0.495315,-0.122854,-0.019985,0.470291,-0.133211,-0.043303,0.484349,-0.131555,-0.059073,0.498806,-0.128654,0.060370,0.520877,-0.082890,0.012399,0.490842,-0.106653,-0.017982,0.466315,-0.116102,-0.037035,0.483507,-0.112511,-0.049805,0.500144,-0.108699,0.055734,0.516948,-0.071574,0.013680,0.489018,-0.089311,-0.009729,0.467856,-0.095649,-0.024421,0.478459,-0.094849,-0.037748,0.493194,-0.092907
1,S04,20260821_143723,right,0,Hello,1,1,0,8,11394.213411,1,1,-0.010227,1.172073,-0.018022,0.028100,0.040794,-0.045495,0.997736,-0.118628,0.531981,-0.095619,-0.118628,0.531981,-0.095619,-0.239807,0.653632,0.052066,-0.099009,0.520236,-0.110459,-0.065465,0.496393,-0.140567,-0.058285,0.476908,-0.163033,-0.060699,0.457357,-0.182697,-0.103441,0.527534,-0.115489,-0.087761,0.500693,-0.174865,-0.080966,0.478071,-0.210848,-0.075638,0.459191,-0.223852,-0.070756,0.441780,-0.233620,-0.113731,0.523850,-0.116514,-0.109285,0.499519,-0.174800,-0.108480,0.484555,-0.219682,-0.105519,0.467224,-0.240805,-0.103418,0.453900,-0.256978,-0.123887,0.519624,-0.115657,-0.127292,0.494583,-0.172914,-0.127984,0.486086,-0.212179,-0.125236,0.471202,-0.232521,-0.122803,0.458467,-0.248468,-0.135705,0.515292,-0.113895,-0.144367,0.493059,-0.162367,-0.147732,0.488330,-0.194238,-0.145911,0.474471,-0.205065,-0.143235,0.458043,-0.213978,0.080547,0.533505,-0.077056,0.080547,0.533505,-0.077056,0.170250,0.662380,0.075720,0.066194,0.538932,-0.100134,0.031978,0.544813,-0.137413,0.005914,0.538789,-0.150410,-0.018783,0.533214,-0.160337,0.070324,0.529937,-0.100687,0.022956,0.504867,-0.141374,-0.012744,0.487017,-0.154039,-0.035876,0.489345,-0.156253,-0.056083,0.493315,-0.157346,0.065372,0.524685,-0.092380,0.018599,0.495482,-0.122908,-0.019680,0.470441,-0.133241,-0.043003,0.484481,-0.131551,-0.058779,0.498925,-0.128625,0.060686,0.521043,-0.082972,0.012712,0.490996,-0.106705,-0.017658,0.466456,-0.116137,-0.036718,0.483631,-0.112516,-0.049494,0.500256,-0.108680,0.056064,0.517104,-0.071655,0.014013,0.489161,-0.089366,-0.009283,0.467871,-0.095701,-0.024102,0.478285,-0.094940,-0.037608,0.492850,-0.093039
1,S04,20260821_143723,right,0,Hello,1,1,0,9,11394.246678,1,1,-0.010484,1.171641,-0.018831,0.026641,0.040943,-0.045208,0.997783,-0.118437,0.531241,-0.095749,-0.118437,0.531241,-0.095749,-0.239384,0.652689,0.052291,-0.098819,0.519560,-0.110637,-0.065274,0.495825,-0.140827,-0.058087,0.476361,-0.163309,-0.060486,0.456799,-0.182966,-0.103288,0.526842,-0.115655,-0.087670,0.500047,-0.175066,-0.080891,0.477442,-0.211067,-0.075543,0.458614,-0.224141,-0.070636,0.441249,-0.233985,-0.113567,0.523124,-0.116653,-0.109189,0.498804,-0.174944,-0.108303,0.483890,-0.219848,-0.105315,0.466709,-0.241092,-0.103192,0.453499,-0.257359,-0.123705,0.518865,-0.115771,-0.127172,0.493807,-0.173017,-0.127775,0.485347,-0.212292,-0.124974,0.470611,-0.232738,-0.122500,0.458006,-0.248782,-0.135503,0.514496,-0.113979,-0.144213,0.492229,-0.162423,-0.147644,0.487486,-0.194283,-0.146031,0.474146,-0.205774,-0.143563,0.458180,-0.215541,0.080865,0.533130,-0.077030,0.080865,0.533130,-0.077030,0.171131,0.661634,0.075688,0.066532,0.538555,-0.100118,0.032347,0.544443,-0.137416,0.006290,0.538433,-0.150427,-0.018403,0.532871,-0.160365,0.070652,0.529555,-0.100662,0.023280,0.504507,-0.141351,-0.012426,0.486694,-0.154017,-0.035551,0.489047,-0.156245,-0.055749,0.493039,-0.157352,0.065690,0.524317,-0.092354,0.018903,0.495143,-0.122880,-0.019395,0.470148,-0.133210,-0.042724,0.484171,-0.131555,-0.058510,0.498604,-0.128656,0.060994,0.520688,-0.082946,0.013005,0.490679,-0.106675,-0.017385,0.466171,-0.116103,-0.036423,0.483368,-0.112507,-0.049181,0.500010,-0.108692,0.056362,0.516765,-0.071629,0.014294,0.488858,-0.089336,-0.009020,0.467593,-0.095665,-0.023825,0.478022,-0.094920,-0.037314,0.492601,-0.093039
