model,seed,test_subject,validation_subject,test_windows,best_epoch,validation_macro_f1,accuracy,macro_f1
cnn,0,S01,S02,60,5,1.0,0.5333333333333333,0.4246031746031746
cnn,0,S02,S03,60,19,0.9832915622389308,0.9666666666666667,0.9663299663299663
cnn,0,S03,S04,60,6,0.9832915622389308,0.85,0.8245614035087719
cnn,0,S04,S05,60,18,0.5833333333333334,0.9833333333333333,0.9832915622389308
cnn,0,S05,S07,60,2,0.7761904761904762,0.6666666666666666,0.5833333333333334
cnn,0,S07,S01,39,7,0.5833333333333334,0.8461538461538461,0.8080011491776197
cnn,1,S01,S02,60,2,1.0,0.36666666666666664,0.22706228956228958
cnn,1,S02,S03,60,2,0.9663299663299663,1.0,1.0
cnn,1,S03,S04,60,7,0.9832915622389308,0.9333333333333333,0.9321406670982658
cnn,1,S04,S05,60,25,0.5833333333333334,0.9833333333333333,0.9832915622389308
cnn,1,S05,S07,60,2,0.9178613053613054,0.6666666666666666,0.5683509596553075
cnn,1,S07,S01,39,18,0.5833333333333334,0.5128205128205128,0.44131855640807044
cnn,2,S01,S02,60,4,1.0,0.5166666666666667,0.43166357452071735
cnn,2,S02,S03,60,3,1.0,0.9166666666666666,0.9111111111111111
cnn,2,S03,S04,60,4,0.9832915622389308,0.9166666666666666,0.9166248955722641
cnn,2,S04,S05,60,9,0.5833333333333334,0.9833333333333333,0.9832915622389308
cnn,2,S05,S07,60,8,0.8310948310948311,0.6333333333333333,0.5452124365167844
cnn,2,S07,S01,39,1,0.5697767145135565,0.4358974358974359,0.3777849601379013
lstm,0,S01,S02,60,8,0.9832915622389308,0.5333333333333333,0.4583333333333333
lstm,0,S02,S03,60,2,0.948849104859335,0.85,0.8119122257053292
lstm,0,S03,S04,60,7,1.0,0.9666666666666667,0.9663299663299663
lstm,0,S04,S05,60,14,0.5504873294346978,0.9833333333333333,0.9832915622389308
lstm,0,S05,S07,60,5,0.8281746031746032,0.5166666666666667,0.45012271048076674
lstm,0,S07,S01,39,4,0.5683509596553075,0.7948717948717948,0.7515406162464986
lstm,1,S01,S02,60,8,1.0,0.6666666666666666,0.5725677830940988
lstm,1,S02,S03,60,11,1.0,0.9166666666666666,0.9111111111111111
lstm,1,S03,S04,60,5,1.0,0.9666666666666667,0.9663299663299663
lstm,1,S04,S05,60,19,0.5558593453330295,1.0,1.0
lstm,1,S05,S07,60,17,0.8267857142857142,0.65,0.5480046269519955
lstm,1,S07,S01,39,7,0.5775335775335776,0.8205128205128205,0.777980352980353
lstm,2,S01,S02,60,8,1.0,0.65,0.566624895572264
lstm,2,S02,S03,60,4,0.9832915622389308,0.9166666666666666,0.9111111111111111
lstm,2,S03,S04,60,5,1.0,0.9833333333333333,0.9832915622389308
lstm,2,S04,S05,60,9,0.5833333333333334,1.0,1.0
lstm,2,S05,S07,60,23,0.8899572649572649,0.6666666666666666,0.567002067002067
lstm,2,S07,S01,39,8,0.5775335775335776,0.6153846153846154,0.5314574314574314
