model,class,support,f1_mean,f1_std,representative_seed,representative_f1
cnn,Hello,57,0.8748023276474769,0.02814032831444395,1,0.859375
cnn,ThankYou,57,0.8527831554582216,0.04549839900261558,1,0.8103448275862069
cnn,Yes,57,0.5994214955058329,0.03205673623075438,1,0.625
cnn,No,56,0.6603022309374295,0.021919376899267328,1,0.6605504587155964
cnn,Help,56,0.8524977838173547,0.039890354221513984,1,0.7966101694915255
cnn,Rest,56,0.7568048425191284,0.06524282827806331,1,0.7567567567567568
lstm,Hello,57,0.9653032153032153,0.007015593885200755,2,0.9743589743589743
lstm,ThankYou,57,0.8788873339553067,0.0624386322235058,2,0.9105691056910568
lstm,Yes,57,0.6350617283950617,0.060060427834116636,2,0.5925925925925926
lstm,No,56,0.7271754066404627,0.020496659957197984,2,0.7049180327868853
lstm,Help,56,0.9311453187405041,0.044147226155155705,2,0.9491525423728813
lstm,Rest,56,0.6704667184667183,0.02149575199629112,2,0.7008547008547008
